prompt_id,prompt
122,"15th-century gothic stained glass, crucifixion detail, Virgin Mary in blue mantle, Saint John in green robe, Christ’s legs, perizoma, mourning figures, gothic architecture background, halos, grisaille shading, devotional scene, medieval church art, sorrowful expressions"
123,"15th century french gothic stained glass, crucifixion scene, jesus on cross with halo and INRI, virgin mary in blue, saint john in green, red background, gothic architecture, fluted columns, skull at base, medieval cityscape, narrative religious glass, late gothic style, vibrant polychromy"
124,"15th-century nativity stained glass, virgin mary in red mantle, infant jesus glowing cloth, joseph in background, ox and donkey, gothic tracery, thatched stable roof, medieval colors, blue and red glass, pointed arches, devotional gothic art, radiant child, architectural frame, ecclesiastical window, narrative stained glass"
125,"annunciation stained glass, archangel gabriel with halo and white robe, virgin mary in red and blue, latin scroll, gothic architectural canopy, open illuminated book, medieval gothic panel, vibrant red and blue glass, 15th century northern european style, prayer gesture, delicate facial features, grisaille painting"
126,"virgin mary weaving thread, blue nimbus, golden robe motifs, angel with spindles, open book with text, medieval stained glass detail, crimson background, gothic grisaille technique, silver stain highlights, 15th-century northern european art, divine textile work, apocryphal scene, child angels, haloed virgin"
127,"faded 15th-century annunciation fresco, archangel gabriel with golden wings, virgin mary in red and white robe, cracked plaster wall, red pigment remains, rustic wooden beams, worn gothic arch, linear gothic style, medieval church painting, rural devotional art, late gothic fresco"
128,"gothic triptych altarpiece, virgin mary enthroned, christ child, female saints, flamboyant tracery, gilded architecture, saint michael in golden armor, saint jerome with church model, lion, international gothic style, gold leaf, gothic church interior, medieval religious painting, pointed arches, ornate canopy"
129,"flamboyant gothic chapel, ribbed vault ceiling, ornate bosses, pointed arches, weathered plaster, exposed stonework, medieval architecture, stained glass windows, diamond pane patterns, colorful floral motifs, ancient church interior, dim light, historic sacred space, solemn atmosphere, aged gothic masonry"
130,"gothic church interior, pointed arches, ribbed vaulting, aged pale limestone walls, faded medieval murals, stone tracery windows, cold light, wooden gothic choir screen, carved pinnacles and foliage, religious painting on wall, solemn atmosphere, flamboyant gothic style, dramatic medieval lighting"
131,"late gothic chapel interior, ribbed vaults, pointed arches, pale limestone, tall stained glass windows, narrative religious scenes, flamboyant tracery, checkerboard stone floor, slender colonnettes, wrought iron railings, funerary chapel, gothic masonry, colored light, wall plaques, french gothic style"
132,"saint sebastian stained glass, late gothic style, martyrdom with arrows, youthful semi-nude figure, bound to post, silver stain flesh tones, golden arrow highlights, serene expression, 15th century stained glass, gothic lancet window, medieval hagiography, devotional glass art"
133,"medieval polychrome stone altarpiece, gothic retable, crucifixion scene, life of saint thibault, pointed arch panels, expressive high relief carving, vivid medieval polychromy, faded red blue green pigments, flowing gothic drapery, delicate gothic canopies, weathered stone surface, sacred gothic art"
134,"gothic quadripartite ribbed vault, pointed stone arches, central carved boss, aged stone surface, weathered medieval architecture, stained masonry, gothic tracery window, colorful stained glass, foliate carvings, medieval church ceiling, textured gothic masonry, historic ecclesiastical space"
135,"flamboyant gothic church wall, blind window niches, pointed arches, flame tracery, lancet motifs, pale limestone, crocketed gables, sculptural brackets, foliate carvings, vertical colonnettes, late gothic architecture, 15th-century, ornate ecclesiastical stonework"
136,"medieval stone column base, faded polychrome painting, harlequin diamond pattern, muted red yellow green blue pigments, worn medieval architecture, weathered stone surface, eroded church interior, ancient wall textures, chipped stone edges, medieval ecclesiastical art, surviving medieval paint, rough dusty stonework"
137,"flamboyant gothic palm vault, clustered stone column, radiating slender ribs, pointed arches, flamboyant gothic architecture, pale worn limestone, sculpted bosses, dramatic stone textures, late gothic church interior, vivid stained glass windows, soft moody lighting, complex ribbed vaulting"
138,"gothic column with cherub sculpture, fluted stone shaft, pale limestone, late gothic architecture, reclining cherub, curled hair, folded wings, medieval stone church, worn stone surface, vertical gothic fluting, black patina, tender gothic detail, aged sculptural textures, medieval cherubic figure"
139,"flamboyant gothic frieze, gothic animal carving, architectural vegetal band, acanthus leaf motif, gothic fantasy beast, medieval limestone sculpture, zoomorphic gothic ornament, floral tendrils, gothic string course, french 15th century church, flamboyant gothic decoration, organic gothic sculpture, carved stone foliage, playful gothic detail"
140,"late gothic chapel interior, rib-vaulted ceiling, painted chevron ribs, floral frescoes, geometric vault patterns, crimson and ochre colors, stained glass lancet window, warm golden light, faded wall paintings, sacred gothic space, polychrome architecture, gothic arch ribs, painted stone textures"
141,"gothic stained glass, close-up crucifixion, christ on cross, golden halo rays, crown of thorns, long blond hair, grisaille body, red damask background, stylized foliage, crowned motifs, medieval textile pattern, wooden cross, architectural columns, gothic church window, french late gothic art, expressive religious scene"
142,"gothic stained-glass, crucifixion scene, virgin mary, saint john the evangelist, architectural canopy, flamboyant gothic, painted glass, vibrant blue and red background, sorrowful figures, medieval religious art, christ on the cross, gold tracery, haloed saints"
143,"gothic church interior, tall pointed window, red sandstone frame, diamond glazed panes, blind arcade, painted ashlar masonry, arched niche, quoined corner stones, wooden beam ceiling, reconstructed gothic wall, vertical architectural detail, historic church restoration"
144,"gothic ceiling boss, heraldic shield, ermine coat of arms, angels holding escutcheon, golden lion crest, red drapery, painted vault ribs, medieval polychromy, breton heraldry, rib vault intersection, architectural sculpture detail, gothic ecclesiastical decoration"
145,"gothic stained glass window, donor portraits, saints and bishops, intercession scene, crucifixion of Christ, devotional composition, liturgical vestments, heraldic tracery, red lion and black eagle, cathedral façade painting, architectural canopy, latin scrolls, vibrant enamel colors, medieval ecclesiastical window, late gothic style"
146,"gothic stained glass, architectural canopy, fleur-de-lis motif, grisaille statue niches, colored vertical panes, pointed arches with crockets, yellow enamel tracery, painted stone imitation, late gothic style, medieval architectural framing, ornate gothic window fragment"
147,"medieval stained glass, painted gothic tracery, grisaille arches, trefoil and quatrefoil motifs, clear glass panel, architectural illusion, black pigment shading, pointed arches, gothic window fragment, enamel detail, stained glass background, gothic canopy ornament"
148,"grisaille painting, fur collar, yellow enamel, contemplative expression, tonsured hair, lay figure, gothic stained glass portrait, deep blue and green background, late gothic glasswork, devotional window detail"
149,"medieval stained glass, bishop saint, mitre with gold enamel, silver stain face, crozier detail, gothic vine halo, blue damask background, grisaille painting, haloed ecclesiastical figure, gold rosettes and quatrefoils, medieval church window, bust-length saint portrait"
150,"gothic stained glass, architectural canopy, pointed arches, crocketed finials, yellow enamel, silver stain, ruby red background, gothic tracery, pinnacles and spires, non-figural panel, medieval window fragment, ornate tabernacle detail, decorative gothic architecture, trefoil silhouette"
151,"gothic stained glass canopy, architectural framing, crocketed pinnacles, pointed arches, white and gold enamel, trefoil silhouette, cobalt blue background, gothic damask patterns, medieval window fragment, high gothic ornament, stained glass tracery, non-figural gothic detail"
152,"medieval stained glass, virgin and child, enthroned madonna, haloed saints, gothic canopy, bishop with mitre, christ child with orb, silver stain, cobalt blue glass, gold highlights, gothic tracery, ornate vestments, late gothic panel, religious scene, gothic church window"
153,"medieval stained glass, grisaille face, silver stain hair, female saint, angelic figure, gothic glass painting, delicate shading, black linework, yellow stained hair, halo with ornament, lead joints, close-up panel, melancholic expression, devotional art, gothic window fragment"
154,"gothic portal, slender stone colonnettes, foliated capitals, trefoil motifs, cloverleaf carving, limestone shafts, recessed archivolt, medieval polychrome bands, green red ochre paint, pale stone texture, gothic architecture detail, carved capital close-up, high gothic ornament"
155,"gothic column base, clustered shafts, torus moldings, octagonal plinth, worn stone texture, faded medieval polychrome, red green ochre paint, gothic church detail, architectural patina, cross and foliate motifs, aged limestone, iron grille with floral elements, medieval french architecture, close-up structural detail"
156,"gothic capital detail, polychrome column, medieval paint, interlaced red and blue pattern, floral motifs, gold torus molding, carved oak leaf capital, green foliage, heraldic ornament, painted stone shaft, high gothic architecture, sculpted and painted detail, richly decorated medieval column, ecclesiastical ornamentation"
157,"late gothic corbel, carved leaf motif, stylized gothic foliage, wall-mounted capital, pale aged limestone, naturalistic stone carving, triangular corbel shape, medieval church wall, fluted shaft above, gothic ecclesiastical interior, shadowed carving, chisel marks on stone, soot-stained gothic wall"
158,"late gothic wall corbel, carved oak leaves, stylized gothic foliage, pale limestone capital, aged medieval stone, vertical shaft support, chisel texture, ashlar masonry background, gothic sculptural detail, ecclesiastical wall carving, iron hooks in stone, late medieval church interior"
159,"late gothic church pillar, foliate frieze, carved vine and leaf motif, low relief ornament, pale limestone, vertical shaft divisions, stylized acanthus leaves, gothic vegetal carving, stone surface detail, aged church column, medieval architectural sculpture, modern cable on gothic stone"
160,"late gothic carved capital, stylized acanthus leaf, high relief stone carving, swirling foliage, vine ornamentation, pale aged limestone, medieval church sculpture, gothic ecclesiastical detail, undercut leaf forms, shadowed gothic carving, tool marks on stone, modern wires on historic architecture"
161,"late gothic church base, clustered colonnettes, pale worn limestone, molded stone base, low plinth, eroded gothic shafts, medieval church interior, chalky stone texture, aged architectural detail, vertical gothic rhythm, simple molded base, rough and smooth stone contrast, ecclesiastical structure"
162,"gothic column cluster, slender stone shafts, carved vegetal capitals, foliate detailing, undercut leaf carvings, pale limestone, smooth cylindrical columns, simple abaci, aged stone texture, red pigment traces, soft lighting, gothic church architecture, vertical clustered columns, ornamental capitals"
163,"late gothic church interior, carved pillar capital, foliate openwork, acanthus leaves, vine tracery, pale limestone, clustered colonnettes, high relief carving, vertical gothic shafts, ribbed arches, gothic sculptural detail, undercut foliage, french late gothic architecture, ecclesiastical stone carving, gothic church column capital"
164,"gothic colonette cluster, medieval polychromy, red green and ochre pigments, weathered painted capitals, foliated carving, painted stone joints, ashlar masonry, diagonal joint lines, gothic church wall detail, in situ architectural paint, faded medieval"
165,"gothic painted portal, pointed arch, polychrome ashlar masonry, red blue beige blocks, simulated black joints, painted voussoirs, foliate and geometric motifs, painted archivolts, ornamental frieze, medieval ribbed vault, painted ribs, french gothic polychromy, architectural decoration"
166,"southern gothic church interior, blind lancet window, pointed arch with trefoil tracery, faux tapestry painting, blue red and gold pattern, gilded moldings, trompe-l'œil stone wall, pale grey ashlar, clustered columns, ribbed vault, polychrome bands, yellow pink green red, mendicant architecture, jacobins toulouse style, richly painted gothic wall, french southern gothic"
167,"gothic church wall, pointed vault, rectangular stone blocks with red joints, traces of removed decor, filled holes, white plaster patches, missing statues, ghost marks, escutcheon in masonry, simple studded wooden door, architectural absence, sacred gothic interior, evidence of liturgical transformation"
168,"gothic church choir, ribbed vault, pale ceiling ribs, pointed apse, stained glass window with red and blue, stone altar with sculpted reliefs, wooden statues in niches, aged whitewashed walls, weathered vault, wrought iron chandelier, stone floor, simple wooden benches, rural gothic architecture, sacred quiet atmosphere"
169,"gothic stained glass, flamboyant architecture, miniature cathedral, two haloed angels, one playing wind instrument, one praying, golden wings, architectural tracery, statue in central niche, grisaille painting, blue damask background, pinnacles, crocketed gables, symmetrical composition, medieval church window, 15th century french stained glass"
170,"gothic stained glass angel, playing lute, flying figure, golden wings, white robe with gold trim, jeweled collar, curly blond hair, decorative circlet, red and blue floral background, late gothic church window, medieval musical angel, warm yellow lute, profile view, french gothic glasswork, grisaille painting, 15th century stained glass, sacred music, architectural stone tracery"
171,"gothic stained glass angel, playing recorder, youthful face, golden curly hair, radiant halo, white robe with gold trim, ochre wings, close-up medieval church window, grisaille painting, detailed hands, pale yellow recorder, expressive sacred face, deep red and black background, 15th century glasswork, french gothic ecclesiastical art, sacred music, divine figure"
172,"kneeling gothic angel, stained glass, white robe with gold trim, floral and geometric ornaments, blue wings, radiant halo, curly golden hair, youthful serene face, reaching gesture, gold quatrefoil detail, circular liturgical object, grisaille shading, deep green background, late gothic french glasswork, 15th century ecclesiastical art, medieval church window, sacred reverence"
173,"gothic stained glass, architectural fantasy, flamboyant gothic tower, mini cathedral façade, crocketed gables, pinnacles, flying buttresses, traceried windows, ornamental stonework, grisaille and gold painting, teal vegetal background, flamboyant architecture, ecclesiastical stained glass, vertical gothic elements, medieval ornament, church window detail"
174,"gothic stained glass, angel playing shawm, wind instrument, golden curly hair, yellow wings, white robe, gold cuff accents, musical angel, devotional expression, medieval music iconography, ecclesiastical window, french gothic style, 15th century stained glass, haloed angel, painted glass detail, straight instrument, ochre tones"
175,"stained glass saint, praying figure, golden halo with pearls, grisaille face, devotional hands, red robe with gold collar, medieval church window, teal ornamental background, late gothic french stained glass, sacred figure, religious portrait, 15th century ecclesiastical art"
176,"flamboyant gothic stained glass, angels holding heraldic shields, red and gold escutcheon, checkered arms, red blue lozenges, quatrefoil frames, stone tracery, grisaille mourning angels, scroll inscriptions, vibrant red blue yellow glass, late gothic french window, ecclesiastical heraldry, medieval angelic donors"
177,"wooden church gallery, carved panels with gothic figures, turned wood columns, pierced tracery, decorative frieze, medieval church interior, green-stained stone wall, votive religious paintings, stormy skies, red double doors, gothic stained glass lancet window, red blue yellow light, carved corbels, late medieval church furnishings, gothic woodwork"
178,"gothic clustered column base, multiple slender shafts, shared pedestal, limestone surface, pale stone, fluting details, simplified capitals, ashlar masonry wall, mortar joints, restoration traces, stone patching, ground erosion, medieval church interior, gothic rib supports, architectural stone detail"
179,"gothic stone wall detail, weathered limestone, surface erosion and patina, salt efflorescence, worn sculptural shaft, degraded stone texture, granular decay, medieval church wall, pale tuffeau stone, interior gothic masonry, historical wear, matte chalky texture, aged wall surface, architectural aging, medieval restoration marks"
180,"gothic side chapel interior, stained glass window with flamboyant tracery, biblical scenes in red blue and gold, colored light on stone wall, small altar with floral arrangement, medieval statues on wall brackets, saint holding child, aged stone surface, pointed lancets, prismatic light reflection, french gothic church, sacred devotional atmosphere"
181,"late gothic stained glass, flamboyant tracery, five lancet windows, assumption of the virgin, angels in blue and white robes, religious scenes, virgin mary, saints and bishops, miters and croziers, gothic church window, grisaille background, vibrant red blue green glass, 15th century french gothic, medieval ecclesiastical art"
182,"late gothic stained glass, french church window, heraldic tracery, coats of arms with angels, grisaille architecture, pinnacles and crockets, tabernacle canopy, kneeling donors, bishop saint, patriarchal figure, virgin and child, medieval heraldry, vibrant blue gold and red glass, devotional scene, 15th century"
183,"15th-century gothic stained glass, resurrection scene, haloed christ, raised arms, blue background, red and white cross, flamboyant gothic tracery, gothic tabernacles, yellow stained grisaille, bishop figure, saintly shrine, angels in clerestory, late medieval window, miniature gothic architecture, sacred hierarchy"
184,"15th-century gothic stained glass, annunciation scene, virgin mary kneeling, archangel gabriel, medieval robes, red blue green glass, yellow gothic canopies, adoring angels in tracery, perpendicular gothic window, medieval church glass, divine figure blessing, lancet windows, gothic multifoil tracery, religious narrative glass, intricate leadwork"
185,"15th-century gothic stained glass tracery, seated christ blessing, adoring angels, white robes, golden hair, deep red background, curvilinear stone tracery, medieval church window, perpendicular gothic style, yellow stain details, celestial choir, upper tracery lights, symmetrical angel arrangement, divine figure in apex"
186,"15th-century gothic chalice, gilded silver, flared cup, hammered finish, lobed nodus, medallion decoration, six-lobed rosette base, heraldic shield, medieval liturgical vessel, golden glow, eucharistic object, gothic ecclesiastical art"
187,"15th century stained glass, noble donor figures, knight in armor, crowned king and queen, princesses, heraldic shields, gothic canopies, gothic style, red and blue robes, gold crowns, late medieval court dress, devotional portrait glass, prayer posture, late gothic window"
188,"late gothic stained glass, tall lancet windows, biblical scenes, saintly figures, flamboyant tracery, red sandstone frames, vibrant blue and red glass, yellow stain highlights, gothic church interior, 15th century stained glass, sacred light, narrative windows"
189,"flamboyant gothic church interior, polygonal apse, ribbed vaulting, lancet stained glass windows, pale limestone, wooden pulpit with stair, choir stalls, gothic tracery, devotional statues, high altar, french late gothic style, light-filled sanctuary, 15th century church interior"
190,"flamboyant gothic church interior, ribbed vaults, pointed arches, stone pulpit, lancet stained glass windows, polygonal apse, pale limestone, wooden chairs, french late gothic style, 15th century church, choir with tracery, crucifix on wall, vertical gothic space"
191,"flamboyant gothic church choir, polygonal apse, ribbed vaulting, stained glass lancets, flamboyant tracery, pale limestone walls, high altar, freestanding altar, gothic sanctuary, statues of saints, wooden choir stalls, colored light, french late gothic interior, devotional space"
192,"15th century stained glass, flamboyant gothic style, bishop saints, virgin and child, white-robed monk, kneeling donor figures, gothic canopies, heraldic shields, angels with scrolls, jewel tone stained glass, grisaille detail, silver stain, devotional window, chantry chapel art"
193,"flamboyant gothic apse, ribbed vaulted ceiling, slender colonnettes, sculpted bosses, monumental stained glass windows, narrative biblical scenes, vivid reds and blues, ornate tracery, pointed arches, gothic altar with crockets and finials, warm golden stone, medieval church interior, colorful light, spiritual atmosphere, carved eagle lectern"
194,"late gothic chapel interior, flamboyant tracery, lancet stained glass windows, pointed arches, ribbed vaulting, pale limestone walls, crucifix above altar, statue niche, embroidered banner, votive painting, wooden pews, french gothic, 15th-century church, devotional space, radiant stained glass light"
195,"flamboyant gothic choir, tall stained glass lancets, curvilinear tracery, ribbed vault ceiling, warm ashlar stone, heraldic banners, embroidered altar cloth, vivid colored light, flamboyant tracery, clustered piers, gothic apse, vibrant narrative glass, late 15th-century french church, ceremonial liturgy, noble patronage"
196,"flamboyant gothic chapel, entombment of christ sculpture, polychrome figures, pointed arch canopy, intricate gothic tracery, flamboyant pinnacles, medieval religious niche, high-relief tomb, gothic saint statue, limestone walls, tall stained glass windows, vibrant light, medieval ecclesiastical space, late gothic sculpture, devotional chapel"
197,"gothic side-chapel cathedral interior, tall pointed stained glass lancet, vivid religious scenes, medieval frescoes, heraldic symbols, starry sky glass panels, wall paintings of apostles, ribbed vault ceiling, late gothic central european church, sacred atmosphere, illuminated stone walls"
